country,years,no_cars
United Kingdom,2017,1749
United Kingdom,2007,1750
Russia,2018,1764
France,2013,1781
Brazil,2002,1793
Russia,2008,1794
Brazil,2001,1798
United Kingdom,2005,1803
Mexico,2002,1805
United Kingdom,2000,1817
United Kingdom,2016,1817
United Kingdom,2002,1821
Brazil,2003,1827
United Kingdom,2003,1846
France,2014,1851
United Kingdom,2004,1856
Mexico,2001,1857
Russia,2014,1887
Mexico,2000,1923
India,2006,1958
Spain,2012,1979
Russia,2011,1989
China,2000,2009
France,2012,2011
France,2015,2015
Canada,2018,2026
France,2009,2043
Mexico,2006,2046
Canada,2010,2068
Canada,2008,2082
Mexico,2007,2095
France,2016,2133
Canada,2011,2135
Spain,2013,2163
Spain,2009,2164
Mexico,2008,2168
Brazil,2016,2175
Russia,2013,2176
Canada,2017,2194
Brazil,2004,2210
France,2010,2219
Russia,2012,2232
India,2007,2250
France,2011,2278
France,2017,2279
Canada,2015,2283
India,2008,2316
France,2018,2329
China,2001,2332
Mexico,2010,2342
Spain,2011,2354
Canada,2016,2371
Canada,2013,2380
Spain,2010,2388
Canada,2014,2394
Spain,2014,2403
Brazil,2015,2454
Canada,2012,2463
Brazil,2005,2528
Canada,2001,2532
Spain,2008,2542
Canada,2003,2553
France,2008,2568
Canada,2006,2571
Canada,2007,2579
Brazil,2006,2611
Canada,2002,2629
India,2009,2643
Mexico,2011,2681
Canada,2005,2688
Canada,2004,2712
Spain,2015,2733
Brazil,2017,2749
Spain,2005,2753
Spain,2006,2777
Spain,2018,2820
Spain,2017,2848
Spain,2001,2850
Spain,2002,2855
Spain,2016,2886
Spain,2007,2890
Brazil,2018,2894
South Korea,2001,2946
Canada,2000,2962
Brazil,2007,2971
Mexico,2012,3002
Spain,2004,3012
France,2007,3016
Spain,2003,3030
Spain,2000,3033
Mexico,2013,3051
South Korea,2000,3115
Brazil,2011,3144
South Korea,2002,3148
Brazil,2014,3170
France,2006,3174
South Korea,2003,3178
Brazil,2009,3185
Brazil,2008,3220
China,2002,3251
France,2000,3352
France,2004,3352
Mexico,2014,3368
Brazil,2012,3371
South Korea,2004,3469
South Korea,2009,3513
France,2005,3549
India,2010,3554
Mexico,2015,3565
Mexico,2016,3600
France,2003,3620
France,2001,3628
Brazil,2010,3648
France,2002,3693
South Korea,2005,3699
Brazil,2013,3768
South Korea,2008,3827
South Korea,2006,3840
India,2014,3865
India,2013,3896
India,2011,3940
South Korea,2018,4029
Mexico,2017,4070
South Korea,2007,4086
Mexico,2018,4101
South Korea,2017,4115
India,2012,4149
India,2015,4150
South Korea,2016,4229
South Korea,2010,4272
China,2003,4444
India,2016,4489
South Korea,2013,4522
South Korea,2014,4525
South Korea,2015,4556
South Korea,2012,4558
South Korea,2011,4657
India,2017,4783
China,2004,5071
Germany,2002,5145
India,2018,5175
Germany,2000,5198
Germany,2009,5210
Germany,2003,5507
Germany,2018,5554
Germany,2004,5570
China,2005,5668
Germany,2001,5692
United States,2009,5709
Germany,2005,5758
Germany,2012,5797
Germany,2006,5820
Germany,2013,5877
Germany,2010,5906
Germany,2008,6046
Germany,2014,6051
Germany,2017,6070
Germany,2015,6186
Germany,2016,6211
Germany,2007,6213
Germany,2011,6311
China,2006,7566
United States,2010,7743
Japan,2009,7935
Japan,2011,8399
United States,2011,8655
United States,2008,8672
China,2007,8885
Japan,2016,9204
China,2008,9233
Japan,2015,9278
Japan,2010,9626
Japan,2013,9630
Japan,2017,9690
Japan,2018,9729
Japan,2014,9775
Japan,2001,9777
Japan,2012,9943
Japan,2000,10145
Japan,2002,10258
Japan,2003,10286
United States,2012,10333
Japan,2004,10512
United States,2007,10752
Japan,2005,10800
United States,2013,11066
United States,2017,11190
United States,2006,11260
United States,2001,11425
Japan,2006,11484
Japan,2008,11564
Japan,2007,11596
United States,2014,11661
United States,2005,11947
United States,2004,11960
United States,2003,12087
United States,2015,12105
United States,2016,12178
United States,2002,12280
United States,2000,12774
China,2009,13649
China,2010,18265
China,2011,18419
China,2012,19272
China,2013,22117
China,2014,23723
China,2015,24503
China,2018,27809
China,2016,28119
China,2017,29016
